id,college_name,survey_year,name,hostel_type,intake_capacity,students_residing
137,"K.V.VIRANI INSTITUTE OF PHARMACY AND RESEARCH CENTRE, BADHADA 253",2015,Matushree S.V.Virani Girls Hostel,Girls Hostel,80,0
27721,"Agarala Eswsar Reddy MBA College, Ramapuram, Tirupati",2015,AGARALA ESWAR REDDY,Girls Hostel,100,35
1040,RAMBA GRADUATE TEACHERS COLLAGE - PORBANDAR,2015,M.ED. boys hostel,Others,10,0
51986,St. ANTONYS COLLEGE OF NURSING (Inst. Code -618),2015,st.antonys girls hostel,Girls Hostel,50,0
167,Dr. J.K. Patel Institute of Management(SFI) Vadodara 711,2015,NRI PGDM,Boys Hostel,182,182
167,Dr. J.K. Patel Institute of Management(SFI) Vadodara 711,2015,NRI PGDM GIRLS,Girls Hostel,174,174
167,Dr. J.K. Patel Institute of Management(SFI) Vadodara 711,2015,NEW NRI HOSTEL AC,Boys Hostel,50,50
167,Dr. J.K. Patel Institute of Management(SFI) Vadodara 711,2015,SUPER DELUX FLATS,Girls Hostel,290,290
167,Dr. J.K. Patel Institute of Management(SFI) Vadodara 711,2015,SHANTISADAN,Boys Hostel,896,896
167,Dr. J.K. Patel Institute of Management(SFI) Vadodara 711,2015,SUPER DELUX FLATS,Boys Hostel,576,576
5838,Gujarat Cancer & Research Institute,2015,Research Hostel,Others,22,44
13963,"Smt. C.M. Patel Homoeopathy College, Vile Parle, Mumbai",2015,Dr. A.D. Edal Behram Girls` Hostel,Girls Hostel,99,99
40327,Srinivasa College of Physiotherapy,2015,SOM HOSTEL,Girls Hostel,50,23
40327,Srinivasa College of Physiotherapy,2015,SRINIVAS HOSTEL,Girls Hostel,150,78
40327,Srinivasa College of Physiotherapy,2015,CARSTREET,Boys Hostel,175,24
402,"SHRI SARVAJANIK PHARMACY COLLEGE, MEHSANA 245",2015,"Shri Sarvajanik Pharmacy Girls Hostel, Mehsana",Girls Hostel,100,25
11012,"Dr. Ghali College, GADHINGLAJ",2015,Dr. Ghali College Hostel,Girls Hostel,51,0
40481,Shri J G Co-Operative Hospital Society's College of Nursing,2015,Shri J G C H Society Boy's Hostel,Boys Hostel,40,35
40481,Shri J G Co-Operative Hospital Society's College of Nursing,2015,Shri J G C H Society's Girl's Hostel,Girls Hostel,100,95
